product_id,product_name,category,subcategory,price,cost,launch_date
P0085,Women Product 85,Clothing,Women,202.98,142.33,2023-12-04
P0086,Decor Product 86,Home & Kitchen,Decor,239.79,169.91,2023-06-25
P0087,Hair Care Product 87,Beauty,Hair Care,409.85,251.15,2022-04-15
P0088,Accessories Product 88,Electronics,Accessories,539.45,408.55,2022-04-01
P0089,Audio Product 89,Electronics,Audio,436.43,324.17,2023-06-21
P0090,Decor Product 90,Home & Kitchen,Decor,361.59,238.82,2024-05-25
P0091,Skin Care Product 91,Beauty,Skin Care,311.65,180.12,2022-11-02
P0092,Skin Care Product 92,Beauty,Skin Care,416.24,315.78,2022-10-31
P0093,Fitness Product 93,Sports,Fitness,215.75,120.92,2024-01-17
P0094,Staples Product 94,Grocery,Staples,260.68,201.96,2023-03-07
P0095,Educational Product 95,Toys,Educational,252.95,181.3,2023-12-26
P0096,Beverages Product 96,Grocery,Beverages,124.38,95.9,2024-04-12
P0097,Makeup Product 97,Beauty,Makeup,335.53,197.51,2023-04-30
P0098,Staples Product 98,Grocery,Staples,331.33,263.09,2022-12-29
P0099,Fitness Product 99,Sports,Fitness,300.61,178.81,2023-11-12
P0100,Snacks Product 100,Grocery,Snacks,271.85,204.04,2023-05-24
P0101,Men Product 101,Clothing,Men,130.16,97.21,2022-08-10
P0102,Fitness Product 102,Sports,Fitness,249.52,190.8,2023-04-01
P0103,Kitchen Appliances Product 103,Home & Kitchen,Kitchen Appliances,258.87,165.01,2023-04-12
P0104,Furniture Product 104,Home & Kitchen,Furniture,203.73,145.67,2024-03-27
P0105,Women Product 105,Clothing,Women,280.65,215.0,2023-07-26
P0106,Kids Product 106,Clothing,Kids,348.49,236.05,2023-11-10
P0107,Mobile Product 107,Electronics,Mobile,726.34,558.74,2023-06-19
P0108,Decor Product 108,Home & Kitchen,Decor,320.95,253.75,2023-06-28
P0109,Mobile Product 109,Electronics,Mobile,530.91,371.18,2023-12-09
P0110,Action Figures Product 110,Toys,Action Figures,291.07,191.84,2022-08-25
P0111,Indoor Product 111,Sports,Indoor,69.75,41.68,2022-04-01
P0112,Action Figures Product 112,Toys,Action Figures,296.82,163.38,2023-02-08
P0113,Women Product 113,Clothing,Women,307.23,174.35,2023-11-08
P0114,Hair Care Product 114,Beauty,Hair Care,595.59,426.35,2022-09-13
P0115,Action Figures Product 115,Toys,Action Figures,276.92,187.41,2024-04-16
P0116,Women Product 116,Clothing,Women,336.19,243.5,2022-09-18
P0117,Kitchen Appliances Product 117,Home & Kitchen,Kitchen Appliances,295.83,211.88,2024-02-16
P0118,Puzzles Product 118,Toys,Puzzles,159.76,123.93,2023-09-09
P0119,Indoor Product 119,Sports,Indoor,437.14,331.54,2023-09-15
P0120,Men Product 120,Clothing,Men,390.23,256.57,2023-10-22
P0121,Outdoor Product 121,Sports,Outdoor,394.92,260.86,2023-03-14
P0122,Hair Care Product 122,Beauty,Hair Care,190.87,142.85,2022-12-14
P0123,Educational Product 123,Toys,Educational,468.34,290.81,2023-11-18
P0124,Laptop Product 124,Electronics,Laptop,331.78,238.28,2023-04-06
P0125,Staples Product 125,Grocery,Staples,370.42,217.38,2022-04-05
P0126,Kitchen Appliances Product 126,Home & Kitchen,Kitchen Appliances,562.85,395.58,2022-05-30
P0127,Outdoor Product 127,Sports,Outdoor,181.14,139.76,2023-02-03
P0128,Puzzles Product 128,Toys,Puzzles,232.04,149.9,2024-03-29
P0129,Furniture Product 129,Home & Kitchen,Furniture,311.96,222.74,2022-01-12
P0130,Staples Product 130,Grocery,Staples,239.58,178.39,2023-03-25
P0131,Decor Product 131,Home & Kitchen,Decor,113.92,77.41,2022-04-13
P0132,Skin Care Product 132,Beauty,Skin Care,308.23,240.22,2022-09-06
P0133,Fitness Product 133,Sports,Fitness,172.52,129.45,2023-10-12
P0134,Snacks Product 134,Grocery,Snacks,356.83,250.91,2024-10-30
P0135,Indoor Product 135,Sports,Indoor,189.67,125.46,2022-11-22
P0136,Action Figures Product 136,Toys,Action Figures,485.99,321.98,2023-05-22
P0137,Beverages Product 137,Grocery,Beverages,206.01,127.59,2024-09-19
P0138,Educational Product 138,Toys,Educational,261.35,161.68,2022-06-08
P0139,Action Figures Product 139,Toys,Action Figures,397.62,242.0,2023-11-19
P0140,Kids Product 140,Clothing,Kids,152.3,86.83,2022-11-05
P0141,Kitchen Appliances Product 141,Home & Kitchen,Kitchen Appliances,327.3,236.8,2023-03-15
P0142,Accessories Product 142,Electronics,Accessories,656.86,428.21,2024-08-12
P0143,Fitness Product 143,Sports,Fitness,107.1,64.44,2024-05-10
P0144,Indoor Product 144,Sports,Indoor,322.16,253.38,2022-02-10
P0145,Beverages Product 145,Grocery,Beverages,331.19,213.65,2022-01-13
P0146,Women Product 146,Clothing,Women,393.82,290.78,2024-05-08
P0147,Makeup Product 147,Beauty,Makeup,151.57,111.2,2023-03-28
P0148,Fitness Product 148,Sports,Fitness,141.55,87.51,2024-09-21
P0149,Accessories Product 149,Electronics,Accessories,562.63,356.73,2024-04-08
P0150,Educational Product 150,Toys,Educational,335.64,255.13,2022-09-19
